Release,Operating System,Download Count,Publish Date
0.5.1,MacOS,586,2017-03-02T09:34:26Z
0.5.1,Windows 32 bit,73,2017-03-02T09:34:26Z
0.5.1,Windows 64 bit,219,2017-03-02T09:34:26Z
0.5.1,Linux 32 bit,6,2017-03-02T09:34:26Z
0.5.1,Linux 64 bit,52,2017-03-02T09:34:26Z
0.5.0,MacOS,46,2017-02-28T09:42:24Z
0.5.0,Windows 32 bit,21,2017-02-28T09:42:24Z
0.5.0,Windows 64 bit,32,2017-02-28T09:42:24Z
0.5.0,Linux 32 bit,1,2017-02-28T09:42:24Z
0.5.0,Linux 64 bit,6,2017-02-28T09:42:24Z
0.4.8,MacOS,610,2016-12-19T09:45:06Z
0.4.8,Windows 32 bit,58,2016-12-19T09:45:06Z
0.4.8,Windows 64 bit,214,2016-12-19T09:45:06Z
0.4.8,Linux 32 bit,4,2016-12-19T09:45:06Z
0.4.8,Linux 64 bit,31,2016-12-19T09:45:06Z
0.4.7,MacOS,1,2016-12-19T08:13:59Z
0.4.7,Windows 32 bit,1,2016-12-19T08:13:59Z
0.4.7,Windows 64 bit,1,2016-12-19T08:13:59Z
0.4.7,Linux 32 bit,1,2016-12-19T08:13:59Z
0.4.7,Linux 64 bit,1,2016-12-19T08:13:59Z
0.4.6,MacOS,74,2016-12-08T09:22:15Z
0.4.6,Windows 32 bit,35,2016-12-08T09:22:15Z
0.4.6,Windows 64 bit,40,2016-12-08T09:22:15Z
0.4.6,Linux 32 bit,2,2016-12-08T09:22:15Z
0.4.6,Linux 64 bit,2,2016-12-08T09:22:15Z
0.4.5,MacOS,30,2016-12-07T09:25:14Z
0.4.5,Windows 32 bit,9,2016-12-07T09:25:14Z
0.4.5,Windows 64 bit,15,2016-12-07T09:25:14Z
0.4.5,Linux 32 bit,1,2016-12-07T09:25:14Z
0.4.5,Linux 64 bit,3,2016-12-07T09:25:14Z
0.4.4,MacOS,35,2016-12-05T15:04:33Z
0.4.4,Windows 32 bit,10,2016-12-05T15:04:33Z
0.4.4,Windows 64 bit,17,2016-12-05T15:04:33Z
0.4.4,Linux 32 bit,1,2016-12-05T15:04:33Z
0.4.4,Linux 64 bit,1,2016-12-05T15:04:33Z
0.4.3,MacOS,1,2016-12-05T14:48:24Z
0.4.3,Windows 32 bit,0,2016-12-05T14:48:24Z
0.4.3,Windows 64 bit,0,2016-12-05T14:48:24Z
0.4.3,Linux 32 bit,0,2016-12-05T14:48:24Z
0.4.3,Linux 64 bit,0,2016-12-05T14:48:24Z
0.4.0,MacOS,1684,2016-05-25T12:33:37Z
0.4.0,Windows 32 bit,143,2016-05-25T12:33:37Z
0.4.0,Windows 64 bit,869,2016-05-25T12:33:37Z
0.4.0,Linux 32 bit,26,2016-05-25T12:33:37Z
0.4.0,Linux 64 bit,212,2016-05-25T12:33:37Z
0.3.0,MacOS,9,2016-05-20T13:58:35Z
0.3.0,Windows 32 bit,1,2016-05-20T13:58:35Z
0.3.0,Windows 64 bit,3,2016-05-20T13:58:35Z
0.3.0,Linux 32 bit,0,2016-05-20T13:58:35Z
0.3.0,Linux 64 bit,0,2016-05-20T13:58:35Z
0.2.2,MacOS,22,2016-04-22T19:47:15Z
0.2.2,Windows 32 bit,2,2016-04-22T19:47:15Z
0.2.2,Windows 64 bit,5,2016-04-22T19:47:15Z
0.2.2,Linux 32 bit,0,2016-04-22T19:47:15Z
0.2.2,Linux 64 bit,7,2016-04-22T19:47:15Z
0.2.1,MacOS,1,2016-04-22T12:22:40Z
0.2.1,Windows 32 bit,0,2016-04-22T12:22:40Z
0.2.1,Windows 64 bit,1,2016-04-22T12:22:40Z
0.2.1,Linux 32 bit,0,2016-04-22T12:22:40Z
0.2.1,Linux 64 bit,0,2016-04-22T12:22:40Z
0.2.0,MacOS,1,2016-04-21T12:52:38Z
0.2.0,Windows 32 bit,0,2016-04-21T12:52:38Z
0.2.0,Windows 64 bit,1,2016-04-21T12:52:38Z
0.2.0,Linux 32 bit,1,2016-04-21T12:52:38Z
0.2.0,Linux 64 bit,2,2016-04-21T12:52:38Z
0.1.0,MacOS,29,2015-08-17T14:58:12Z
0.1.0,Windows 32 bit,7,2015-08-17T14:58:12Z
0.1.0,Windows 64 bit,27,2015-08-17T14:58:12Z
0.1.0,Linux 32 bit,2,2015-08-17T14:58:12Z
0.1.0,Linux 64 bit,8,2015-08-17T14:58:12Z
